,visit_date,nationNm,covid_china
0,202003,중국,81518.0
1,202004,중국,1344.0
2,202005,중국,81657.0
3,202006,중국,1874.0
4,202007,중국,82418.0
5,202008,중국,2630.0
6,202009,중국,82773.0
7,202010,중국,3200.0
8,202011,중국,83342.0
9,202012,중국,3710.0
10,202101,중국,85812.0
11,202102,중국,4081.0
12,202103,중국,86120.0
13,202104,중국,4545.0
14,202105,중국,86554.0
15,202106,중국,5226.0
16,202107,중국,87704.0
17,202108,중국,7175.0
18,202109,중국,88953.0
19,202110,중국,8127.0
20,202111,중국,90584.0
21,202112,중국,11499.0
22,202201,중국,94435.0
23,202202,중국,14891.0
24,202203,중국,134385.0
25,202204,중국,79858.0
26,202205,중국,144241.0
27,202206,중국,81397.0
28,202207,중국,147897.0
29,202208,중국,95184.0
30,202209,중국,155109.0
31,202210,중국,104850.0
32,202211,중국,214686.0
33,202212,중국,393067.0
